window,decay,threshold,fractional,allow_short,dd_limit,val_sharpe
20,0.95,0.002,True,True,0.15,-1.4401823330441523
20,0.95,0.002,True,True,0.2,-1.3035190731636026
20,0.95,0.002,True,False,0.1,0.47376613727668054
20,0.95,0.002,True,False,0.15,0.4913673964702717
20,0.95,0.002,True,False,0.2,0.49144428235408183
20,0.95,0.002,False,True,0.1,-2.421825619996967
20,0.95,0.002,False,True,0.15,-2.374102426474313
20,0.95,0.002,False,True,0.2,-2.2335025861846822
20,0.95,0.002,False,False,0.1,0.7341902150488381
20,0.95,0.002,False,False,0.15,0.6021588744873394
20,0.95,0.002,False,False,0.2,0.6099177694647068
20,1.0,0.0005,True,True,0.1,-2.4892513650166355
20,1.0,0.0005,True,True,0.15,-1.963033258257615
20,1.0,0.0005,True,True,0.2,-1.8573082826395237
20,1.0,0.0005,True,False,0.1,1.0034772486952372
20,1.0,0.0005,True,False,0.15,0.8582457275792624
20,1.0,0.0005,True,False,0.2,0.9061501983203332
20,1.0,0.0005,False,True,0.1,-2.3334597297023296
20,1.0,0.0005,False,True,0.15,-1.827007080289681
20,1.0,0.0005,False,True,0.2,-1.6309107448458777
20,1.0,0.0005,False,False,0.1,1.1769297176004594
20,1.0,0.0005,False,False,0.15,1.2008613358896851
20,1.0,0.0005,False,False,0.2,1.2150926519054601
20,1.0,0.001,True,True,0.1,-2.036614813429132
20,1.0,0.001,True,True,0.15,-1.5706303321791062
20,1.0,0.001,True,True,0.2,-1.4285012569515874
20,1.0,0.001,True,False,0.1,0.733101413817802
20,1.0,0.001,True,False,0.15,0.6478149518592239
20,1.0,0.001,True,False,0.2,0.6762241860863959
20,1.0,0.001,False,True,0.1,-2.0005595494056236
20,1.0,0.001,False,True,0.15,-1.709462216872135
20,1.0,0.001,False,True,0.2,-1.6380301610330599
20,1.0,0.001,False,False,0.1,1.2100968126578944
20,1.0,0.001,False,False,0.15,1.0000949266320645
20,1.0,0.001,False,False,0.2,1.0231102739508593
20,1.0,0.002,True,True,0.1,-1.6676366282810196
20,1.0,0.002,True,True,0.15,-1.2654472048698888
20,1.0,0.002,True,True,0.2,-1.1173229106410834
20,1.0,0.002,True,False,0.1,0.6030297848428444
20,1.0,0.002,True,False,0.15,0.6058203180324607
20,1.0,0.002,True,False,0.2,0.609299386981041
20,1.0,0.002,False,True,0.1,-2.570821202185563
20,1.0,0.002,False,True,0.15,-2.1844952180450075
